t;x;v
3.9800;0.328766464253;0.367885769457
3.9900;0.332445321947;0.360942554402
4.0000;0.336054747491;0.353932705409
4.0100;0.339594074545;0.346857677754
4.0200;0.343062651323;0.339718938585
4.0300;0.346459840709;0.332517966620
4.0400;0.349785020375;0.325256251839
4.0500;0.353037582893;0.317935295180
4.0600;0.356216935845;0.310556608227
4.0700;0.359322501927;0.303121712902
4.0800;0.362353719056;0.295632141150
4.0900;0.365310040468;0.288089434628
4.1000;0.368190934814;0.280495144384
4.1100;0.370995886258;0.272850830543
4.1200;0.373724394563;0.265158061987
4.1300;0.376375975183;0.257418416034
4.1400;0.378950159343;0.249633478115
4.1500;0.381446494125;0.241804841450
4.1600;0.383864542539;0.233934106726
4.1700;0.386203883606;0.226022881768
4.1800;0.388464112424;0.218072781214
4.1900;0.390644840236;0.210085426184
4.2000;0.392745694498;0.202062443954
4.2100;0.394766318938;0.194005467620
4.2200;0.396706373614;0.185916135773
4.2300;0.398565534972;0.177796092165
4.2400;0.400343495893;0.169646985374
4.2500;0.402039965747;0.161470468470
4.2600;0.403654670432;0.153268198687
4.2700;0.405187352418;0.145041837080
4.2800;0.406637770789;0.136793048194
4.2900;0.408005701271;0.128523499730
4.3000;0.409290936269;0.120234862205
4.3100;0.410493284891;0.111928808618
4.3200;0.411612572977;0.103607014111
4.3300;0.412648643118;0.095271155637
4.3400;0.413601354674;0.086922911619
4.3500;0.414470583790;0.078563961614
4.3600;0.415256223407;0.070195985977
4.3700;0.415958183266;0.061820665523
4.3800;0.416576389922;0.053439681192
4.3900;0.417110786733;0.045054713712
4.4000;0.417561333871;0.036667443264
4.4100;0.417928008303;0.028279549143
4.4200;0.418210803795;0.019892709428
4.4300;0.418409730889;0.011508600643
4.4400;0.418524816895;0.003128897424
4.4500;0.418556105870;-0.005244727811
4.4600;0.418503658592;-0.013610605201
4.4700;0.418367552540;-0.021967067767
4.4800;0.418147881862;-0.030312451750
4.4900;0.417844757344;-0.038645096936
4.5000;0.417458306375;-0.046963346986
4.5100;0.416988672905;-0.055265549766
4.5200;0.416436017407;-0.063550057675
4.5300;0.415800516831;-0.071815227965
4.5400;0.415082364551;-0.080059423074
4.5500;0.414281770320;-0.088281010942
4.5600;0.413398960211;-0.096478365337
4.5700;0.412434176558;-0.104649866176
4.5800;0.411387677896;-0.112793899841
4.5900;0.410259738897;-0.120908859499
4.6000;0.409050650302;-0.128993145417
4.6100;0.407760718848;-0.137045165278
4.6200;0.406390267195;-0.145063334490
4.6300;0.404939633851;-0.153046076499
4.6400;0.403409173086;-0.160991823100
4.6500;0.401799254855;-0.168899014738
4.6600;0.400110264707;-0.176766100821
4.6700;0.398342603699;-0.184591540014
4.6800;0.396496688299;-0.192373800548
4.6900;0.394572950293;-0.200111360513
4.7000;0.392571836688;-0.207802708159
4.7100;0.390493809607;-0.215446342184
4.7200;0.388339346185;-0.223040772034
4.7300;0.386108938464;-0.230584518186
4.7400;0.383803093283;-0.238076112437
4.7500;0.381422332158;-0.245514098190
4.7600;0.378967191176;-0.252897030735
4.7700;0.376438220869;-0.260223477528
4.7800;0.373835986094;-0.267492018468
4.7900;0.371161065909;-0.274701246171
4.8000;0.368414053447;-0.281849766243
4.8100;0.365595555785;-0.288936197546
4.8200;0.362706193809;-0.295959172464
4.8300;0.359746602085;-0.302917337168
4.8400;0.356717428713;-0.309809351872
4.8500;0.353619335194;-0.316633891095
4.8600;0.350452996283;-0.323389643908
4.8700;0.347219099844;-0.330075314189
4.8800;0.343918346702;-0.336689620872
4.8900;0.340551450494;-0.343231298185
4.9000;0.337119137512;-0.349699095897
4.9100;0.333622146553;-0.356091779551
4.9200;0.330061228757;-0.362408130703
4.9300;0.326437147450;-0.368646947147
